id,Nom,Diff,icon_url
"1",RP_BV_Mittherand,RP,./0.png
"2",RP_SaintViateur,RP,./0.png
"3",Croisement_Y4_RouteAlepe,Croisement,./1.png
"4",Croisement_Y4_RouteAdzope,Croisement,./1.png
