X,Y,osm_id,code,fclass,name,Diff,icon_url
-5.0469679,7.6773034,"5552256559","3103",christian_evangelical,Mission Internationale Charismatique Christ en Action,Eglise,./0.png
-5.0474238,7.6779227,"5552256560","3100",christian,Paroisse El Morijah,Eglise,./0.png
-5.0476431,7.6792841,"5552256561","3100",christian,Centre de Réveil et Mission Abdias,Eglise,./0.png
-5.0494261,7.6797635,"5552256563","3100",christian,Méthodiste Unie,Eglise,./0.png
-5.0516443,7.6829599,"5552326663","3103",christian_evangelical,Mission Jésus-Christ Source de Vie,Eglise,./0.png
-5.0188932,7.7268726,"5552518330","3300",muslim,Mosquée Al Iklass,Mosquee,./1.png
-5.0187778,7.7258759,"5552518333","3300",muslim,Mosquée de l'Institut Imam Mohamed Ben Ali,Mosquee,./1.png
-5.0272268,7.7237922,"5552518368","3300",muslim,,Mosquee,./1.png
-5.0665829,7.706105,"5552564979","3300",muslim,,Mosquee,./1.png
-5.0654857,7.7011576,"5552564980","3103",christian_evangelical,,Eglise,./0.png
-5.0630236,7.7018243,"5552564981","3100",christian,Église Christianisme Céleste,Eglise,./0.png
-5.043603,7.7153733,"5552567630","3103",christian_evangelical,Mission Internationale d'Évangélisation,Eglise,./0.png
-5.0432771,7.713845,"5552567631","3103",christian_evangelical,Église des Assemblées de Dieu de Beaufort,Eglise,./0.png
-5.0226054,7.7261856,"5552644666","3300",muslim,,Mosquee,./1.png
-5.0245366,7.7262746,"5552644667","3300",muslim,,Mosquee,./1.png
-5.0349838,7.7278175,"5552755824","3300",muslim,,Mosquee,./1.png
-5.0380415,7.7291557,"5552755825","3300",muslim,,Mosquee,./1.png
-5.0385377,7.7327757,"5552755830","3300",muslim,,Mosquee,./1.png
-5.0427407,7.7335518,"5552755831","3300",muslim,,Mosquee,./1.png
-5.0357616,7.7327624,"5552755832","3300",muslim,,Mosquee,./1.png
-5.0344601,7.7306375,"5552755835","3300",muslim,Mosquée Abdoul Bassit Konaté,Mosquee,./1.png
-5.0390808,7.7234028,"5552755843","3300",muslim,,Mosquee,./1.png
-5.0118843,7.7289409,"5552784502","3103",christian_evangelical,Église de la Gloire Abondante de Dieu,Eglise,./0.png
-5.0086807,7.7314933,"5552784503","3100",christian,Église Baptiste Missionnaire,Eglise,./0.png
-5.0136749,7.7229868,"5553000672","3103",christian_evangelical,Église Protestante Évangélique CMA,Eglise,./0.png
-5.0131761,7.7232154,"5553000673","3300",muslim,,Mosquee,./1.png
-5.0129762,7.7254693,"5553000674","3300",muslim,,Mosquee,./1.png
-5.0086445,7.7252553,"5553000676","3300",muslim,,Mosquee,./1.png
-5.0094894,7.7203183,"5553000680","3300",muslim,,Mosquee,./1.png
-5.0147156,7.7218506,"5553000682","3300",muslim,,Mosquee,./1.png
-5.0169379,7.7242812,"5553000684","3300",muslim,,Mosquee,./1.png
-5.0175427,7.7216964,"5553000687","3300",muslim,,Mosquee,./1.png
-5.0164403,7.7194213,"5553000688","3300",muslim,,Mosquee,./1.png
-4.2563984,5.3246823,"5554933294","3100",christian,Parroise Saint Jean de Songon,Eglise,./0.png
-5.0642788,7.699339,"5556093841","3300",muslim,Mosquée Zawdjane,Mosquee,./1.png
-5.0608403,7.7043627,"5556118329","3300",muslim,Grande Mosquée de la Zone,Mosquee,./1.png
-5.0016037,7.7092188,"5556171841","3301",muslim_sunni,Mosquée de Soumahoro,Mosquee,./1.png
