X,Y,ID,PARTS,NOM,CODE,CLASSIF,SOUS_PREF,DEPART,REGION,icon_url
-3.62895532361025,7.97058681173116,"4266","1",KOUAKOUKANKRO,"1","1",SANDEGUE,BONDOUKOU,ZANZAN,./0.png
-2.92633915747878,7.97190692179613,"4267","1",NANGNONGO,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.2974836931354,7.9721077407309,"4268","1",DJANIFIKRO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.124644118242,7.97157926034858,"4269","1",DIASEMPA,"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.13563133492238,7.96797116146083,"4270","1",AMANVI,"1","1",TANDA,TANDA,ZANZAN,./0.png
-2.94679630373146,7.9696642093198,"4271","1",KOBOKO,"1","1",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.53861413115276,7.96632149228314,"4272","1",MADAM,"1","1",SANDEGUE,BONDOUKOU,ZANZAN,./0.png
-3.66616344466044,7.96668569451453,"4273","1",GOYONOU,"1","0",SANDEGUE,BONDOUKOU,ZANZAN,./0.png
-3.46828203062962,7.96135735171801,"4274","1",KOUADIO KOTO,"1","0",SANDEGUE,BONDOUKOU,ZANZAN,./0.png
-2.94272662904747,7.96305390352241,"4275","1",NANSAN (KOBOKO NANSA,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.05664683141912,7.96075811171969,"4276","1",DJOM,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-2.83548404233813,7.95998169778217,"4277","1",ZANZAN 1,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.24522360702557,7.95822886781945,"4278","1",LAMOLI,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.01303290006526,7.95864341354329,"4279","1",DAKOUA,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.35948355208643,7.95748109055027,"4280","1",KOBENA GBOKOKRO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.5813667869012,7.95267742305483,"4281","1",SANDEGUE,"3","1",SANDEGUE,BONDOUKOU,ZANZAN,./0.png
-2.85647633243268,7.95539576472661,"4282","1",ZANZAN 2,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.05871815948582,7.95274345026482,"4283","1",HEREBO,"1","1",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-2.90371970090131,7.950895670343,"4284","1",BOUDY,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.44191566747141,7.94699489295152,"4285","1",NAMASSI,"1","1",SANDEGUE,BONDOUKOU,ZANZAN,./0.png
-3.16984683580877,7.94763013272205,"4286","1",ADIEHI-BANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.00504203208358,7.94420204402008,"4287","1",KRAKO,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-2.78777725055736,7.94549683233094,"4288","1",DUA KOUAME,"1","0",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-2.95266790674766,7.94122338625669,"4289","1",SIAGO,"1","1",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-2.93261280132842,7.93849027080909,"4290","1",BOUADAM,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.0076918627426,7.93749753279992,"4291","1",ATRAME,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-2.83508325934577,7.93686763927542,"4292","1",KANASSE (KANE ASSE),"1","1",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.11569358653555,7.93498296834165,"4293","1",DABILAYO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.28033422071813,7.92749471298355,"4294","1",SEKRE-BANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.86194316574725,7.92503988868572,"4295","1",BOHI,"1","1",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-2.90623199041837,7.92670811075199,"4296","1",NAKOUA,"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-3.204456342629,7.92136019050904,"4297","1",SIAGNI-SOGO / CHIAGN,"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.37640767014648,7.91982595414799,"4298","1",GONDIA,"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.31613031721845,7.9192382945214,"4299","1",ESSIKRO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.07344383242099,7.92036360445778,"4300","1",KIETAN,"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.1566542272564,7.9156590084633,"4301","1",LOTOGNIO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.23783674633215,7.91250332380644,"4302","1",SIASSO,"1","1",TANDA,TANDA,ZANZAN,./0.png
-2.82641383542696,7.90840031978386,"4303","1",BOROKO,"1","1",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.00221962267072,7.90611110336431,"4304","1",BOKO (GBOKO),"1","0",GOUMERE,BONDOUKOU,ZANZAN,./0.png
-2.83629276169825,7.90072688992379,"4305","1",PINDA,"2","1",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-3.22725611815579,7.90293990021367,"4306","1",AGUINDA (ADJINA),"1","0",TANDA,TANDA,ZANZAN,./0.png
