X,Y,NOM,TYPE,X_COORD,Y_COORD,Diff,icon_url
-3.95585405857082,5.29166514888293,Epv Enodi,Primaire,394082.80173,584986.15119,Primaire,./0.png
-3.9694578731139,5.29117650682187,Cours Loko,Professionnelle,392575.15145,584934.46555,Secondaire,./1.png
-3.96456871563863,5.30189086093668,Collège Moderne la Colombe,Secondaire,393118.80682,586118.14768,Secondaire,./1.png
-3.97028106293276,5.2904940013137,Complexe de Perfectionnement,Professionnelle,392483.80798,584859.15345,Secondaire,./1.png
-3.97328390552131,5.29497572229968,Collège Moderne Pascal,Secondaire,392151.80985,585355.15182,Secondaire,./1.png
-3.95645169684714,5.2988913871038,Epv Entente,Primaire,394017.80285,585785.14805,Primaire,./0.png
-3.94853028987766,5.29986236925328,Collège Moderne Ste Thérèse,Secondaire,394895.79945,585891.14667,Secondaire,./1.png
-3.9530614918465,5.30067853050291,Epp Promodo Extension,Primaire,394393.80156,585982.14684,Primaire,./0.png
-3.94359443549696,5.31186396030164,Lycée Municipal de Koumassi,Secondaire,395444.79867,587217.14073,Secondaire,./1.png
-3.9454821967026,5.31300982474786,Collège Moderne St Maurice d'Alicot,Secondaire,395235.79964,587344.14044,Secondaire,./1.png
-3.95173309640778,5.2876282512074,Centre des Metiers du Batiment,Professionnelle,394538.79942,584539.15250,Secondaire,./1.png
-3.94813106315544,5.3102650467978,Epv Bon Berger,Primaire,394941.80050,587041.14198,Primaire,./0.png
-3.94385549182353,5.30550472628817,Epp Abri 2000,Primaire,395414.79804,586514.14360,Primaire,./0.png
-3.96178860701008,5.30138865362695,Epv GS Entente,Primaire,393426.80552,586062.14757,Primaire,./0.png
-3.9576007210923,5.30084338590653,Epv St. Jacques,Primaire,393890.80360,586001.14731,Primaire,./0.png
-3.95791196571521,5.29199664793961,Epv Cours Pasteur,Primaire,393854.80268,585023.15129,Primaire,./0.png
-3.96447414446827,5.29909603112086,Epp Bernard Dadier,Primaire,393128.80644,585809.14892,Primaire,./0.png
-3.96173275683383,5.3037489827632,ISTC la Colombe,Professionnelle,393433.39953,586323.08401,Secondaire,./1.png
-3.95533870540289,5.29119445880848,Collège Jules Vallès,Secondaire,394139.83269,584934.02634,Secondaire,./1.png
-3.95001546718821,5.28649287415193,Collège,Secondaire,394728.95478,584413.34030,Secondaire,./1.png
-3.94948746723193,5.30435357591204,Epv Ezéchias,Primaire,394790.48791,586387.83228,Primaire,./0.png
-3.95914855287764,5.29881033167481,Epv Union forcée,Primaire,393718.92904,585776.64840,Primaire,./0.png
-3.94146234062453,5.31416584721716,Groupe CESA,Professionnelle,395681.45424,587471.26444,Secondaire,./1.png
-3.94525155153323,5.30951135018824,GS la Grace divine,Primaire,395260.76788,586957.32947,Primaire,./0.png
-3.93642441545611,5.31026084816474,Epv les Béatitudes,Primaire,396239.07654,587038.70310,Primaire,./0.png
-3.93892859278436,5.30840841603145,Epv Béliers II,Primaire,395961.26493,586834.32922,Primaire,./0.png
